"date","AI.PA.Adjusted"
2008-09-03,28.3107070922852
2008-09-04,27.6769847869873
2008-09-05,27.2330436706543
2008-09-08,27.992151260376
2008-09-09,27.7854347229004
2008-09-10,27.9209804534912
2008-09-11,28.0853424072266
2008-09-12,28.6665325164795
2008-09-15,28.5157299041748
2008-09-16,28.0616245269775
2008-09-17,27.8565979003906
2008-09-18,28.0836524963379
2008-09-19,29.8221454620361
2008-09-22,29.1545333862305
2008-09-23,28.4479503631592
2008-09-24,27.9582633972168
2008-09-25,28.0226516723633
2008-09-26,27.7142658233643
2008-09-29,26.4332656860352
2008-09-30,26.2350215911865
2008-10-01,25.9571228027344
2008-10-02,25.092960357666
2008-10-03,25.9113788604736
2008-10-06,24.3558769226074
2008-10-07,24.7947406768799
2008-10-08,23.9424381256104
2008-10-09,23.4951095581055
2008-10-10,23.0477752685547
2008-10-13,24.3812999725342
2008-10-14,24.813383102417
2008-10-15,23.7069110870361
2008-10-16,22.171745300293
2008-10-17,22.1886901855469
2008-10-20,22.4818382263184
2008-10-21,21.8667526245117
2008-10-22,20.3536167144775
2008-10-23,20.6552257537842
2008-10-24,20.695894241333
2008-10-27,19.8249473571777
2008-10-28,20.1909484863281
2008-10-29,21.9599418640137
2008-10-30,22.2293567657471
2008-10-31,22.8088607788086
2008-11-03,23.3815784454346
2008-11-04,24.3287734985352
2008-11-05,24.0457973480225
2008-11-06,22.7359962463379
2008-11-07,23.4781665802002
2008-11-10,24.1034145355225
2008-11-11,23.3392162322998
2008-11-12,22.9308547973633
2008-11-13,23.0698013305664
2008-11-14,23.1562213897705
2008-11-17,22.996940612793
2008-11-18,22.6987228393555
2008-11-19,20.7467250823975
2008-11-20,20.1401138305664
2008-11-21,20.1468906402588
2008-11-24,21.538028717041
2008-11-25,21.6549434661865
2008-11-26,21.6447772979736
2008-11-27,21.922664642334
2008-11-28,22.6546649932861
2008-12-01,21.1059474945068
2008-12-02,21.5464992523193
2008-12-03,21.3770523071289
2008-12-04,21.651554107666
2008-12-05,20.1824703216553
2008-12-08,22.1836128234863
2008-12-09,22.125997543335
2008-12-10,21.4041709899902
2008-12-11,21.4804172515869
2008-12-12,21.2448921203613
2008-12-15,21.2245559692383
2008-12-16,21.8464107513428
2008-12-17,21.929443359375
2008-12-18,21.929443359375
2008-12-19,22.0107765197754
2008-12-22,21.8616695404053
2008-12-23,21.7701663970947
2008-12-24,21.7125568389893
2008-12-29,21.9023361206055
2008-12-30,22.4428577423096
2008-12-31,22.1802196502686
2009-01-02,22.8766326904297
2009-01-05,22.9596614837646
2009-01-06,23.1121616363525
2009-01-07,22.7834434509277
2009-01-08,22.9596614837646
2009-01-09,22.6902465820312
2009-01-12,22.1802196502686
2009-01-13,21.7159442901611
2009-01-14,21.1127243041992
2009-01-15,20.5366172790527
2009-01-16,20.6789455413818
2009-01-19,20.5400066375732
2009-01-20,20.3841171264648
2009-01-21,19.9910049438477
2009-01-22,19.6944732666016
2009-01-23,19.2488384246826
2009-01-26,19.6555042266846
2009-01-27,19.1471729278564
2009-01-28,19.7588653564453
2009-01-29,19.774112701416
2009-01-30,19.3284759521484
2009-02-02,18.9777278900146
2009-02-03,19.2183399200439
2009-02-04,20.1418075561523
2009-02-05,20.1960334777832
2009-02-06,20.6755619049072
2009-02-09,20.8755035400391
2009-02-10,19.9910049438477
2009-02-11,20.3146438598633
2009-02-12,19.6419506072998
2009-02-13,20.3976707458496
2009-02-16,21.8735237121582
2009-02-17,20.8382263183594
2009-02-18,21.3329982757568
2009-02-19,21.2652263641357
2009-02-20,21.1872787475586
2009-02-23,20.4010620117188
2009-02-24,19.9367828369141
2009-02-25,19.7808971405029
2009-02-26,20.0672512054443
2009-02-27,19.7097244262695
2009-03-02,18.9692516326904
2009-03-03,19.1691989898682
2009-03-04,20.682336807251
2009-03-05,19.838508605957
2009-03-06,19.5267276763916
2009-03-09,19.87917137146
2009-03-10,20.9077014923096
2009-03-11,21.0246162414551
